"","Year","Period","State","State.ANSI","Data.Item","Value"
"1348",2016,"APR THRU JUN","WYOMING",56,"LOSS, DEADOUT","2,600"
"1349",2016,"JUL THRU SEP","ALABAMA",1,"LOSS, DEADOUT","1,200"
"1350",2016,"JUL THRU SEP","ARIZONA",4,"LOSS, DEADOUT","6,000"
"1351",2016,"JUL THRU SEP","ARKANSAS",5,"LOSS, DEADOUT","1,500"
"1352",2016,"JUL THRU SEP","CALIFORNIA",6,"LOSS, DEADOUT","82,000"
"1353",2016,"JUL THRU SEP","COLORADO",8,"LOSS, DEADOUT","6,500"
"1354",2016,"JUL THRU SEP","CONNECTICUT",9,"LOSS, DEADOUT","270"
"1355",2016,"JUL THRU SEP","FLORIDA",12,"LOSS, DEADOUT","25,000"
"1356",2016,"JUL THRU SEP","GEORGIA",13,"LOSS, DEADOUT","13,000"
"1357",2016,"JUL THRU SEP","HAWAII",15,"LOSS, DEADOUT","600"
"1358",2016,"JUL THRU SEP","IDAHO",16,"LOSS, DEADOUT","13,000"
"1359",2016,"JUL THRU SEP","ILLINOIS",17,"LOSS, DEADOUT","1,300"
"1360",2016,"JUL THRU SEP","INDIANA",18,"LOSS, DEADOUT","600"
"1361",2016,"JUL THRU SEP","IOWA",19,"LOSS, DEADOUT","5,500"
"1362",2016,"JUL THRU SEP","KANSAS",20,"LOSS, DEADOUT","2,600"
"1363",2016,"JUL THRU SEP","KENTUCKY",21,"LOSS, DEADOUT","1,000"
"1364",2016,"JUL THRU SEP","LOUISIANA",22,"LOSS, DEADOUT","7,000"
"1365",2016,"JUL THRU SEP","MAINE",23,"LOSS, DEADOUT","420"
"1366",2016,"JUL THRU SEP","MARYLAND",24,"LOSS, DEADOUT","200"
"1367",2016,"JUL THRU SEP","MASSACHUSETTS",25,"LOSS, DEADOUT","530"
"1368",2016,"JUL THRU SEP","MICHIGAN",26,"LOSS, DEADOUT","15,000"
"1369",2016,"JUL THRU SEP","MINNESOTA",27,"LOSS, DEADOUT","26,000"
"1370",2016,"JUL THRU SEP","MISSISSIPPI",28,"LOSS, DEADOUT","3,300"
"1371",2016,"JUL THRU SEP","MISSOURI",29,"LOSS, DEADOUT","650"
"1372",2016,"JUL THRU SEP","MONTANA",30,"LOSS, DEADOUT","11,500"
"1373",2016,"JUL THRU SEP","NEBRASKA",31,"LOSS, DEADOUT","8,500"
"1374",2016,"JUL THRU SEP","NEW JERSEY",34,"LOSS, DEADOUT","270"
"1375",2016,"JUL THRU SEP","NEW MEXICO",35,"LOSS, DEADOUT","1,100"
"1376",2016,"JUL THRU SEP","NEW YORK",36,"LOSS, DEADOUT","10,000"
"1377",2016,"JUL THRU SEP","NORTH CAROLINA",37,"LOSS, DEADOUT","1,400"
"1378",2016,"JUL THRU SEP","NORTH DAKOTA",38,"LOSS, DEADOUT","71,000"
"1379",2016,"JUL THRU SEP","OHIO",39,"LOSS, DEADOUT","1,600"
"1380",2016,"JUL THRU SEP","OKLAHOMA",40,"LOSS, DEADOUT","560"
"1381",2016,"JUL THRU SEP","OREGON",41,"LOSS, DEADOUT","7,500"
"1382",2016,"JUL THRU SEP","PENNSYLVANIA",42,"LOSS, DEADOUT","1,300"
"1383",2016,"JUL THRU SEP","SOUTH CAROLINA",45,"LOSS, DEADOUT","920"
"1384",2016,"JUL THRU SEP","SOUTH DAKOTA",46,"LOSS, DEADOUT","25,000"
"1385",2016,"JUL THRU SEP","TENNESSEE",47,"LOSS, DEADOUT","950"
"1386",2016,"JUL THRU SEP","TEXAS",48,"LOSS, DEADOUT","12,000"
"1387",2016,"JUL THRU SEP","UTAH",49,"LOSS, DEADOUT","3,200"
"1388",2016,"JUL THRU SEP","VERMONT",50,"LOSS, DEADOUT","400"
"1389",2016,"JUL THRU SEP","VIRGINIA",51,"LOSS, DEADOUT","810"
"1390",2016,"JUL THRU SEP","WASHINGTON",53,"LOSS, DEADOUT","5,000"
"1391",2016,"JUL THRU SEP","WEST VIRGINIA",54,"LOSS, DEADOUT","190"
"1392",2016,"JUL THRU SEP","WISCONSIN",55,"LOSS, DEADOUT","12,000"
"1393",2016,"JUL THRU SEP","WYOMING",56,"LOSS, DEADOUT","7,000"
"1394",2016,"OCT THRU DEC","ALABAMA",1,"LOSS, DEADOUT","610"
"1395",2016,"OCT THRU DEC","ARIZONA",4,"LOSS, DEADOUT","6,500"
"1396",2016,"OCT THRU DEC","ARKANSAS",5,"LOSS, DEADOUT","2,500"
"1397",2016,"OCT THRU DEC","CALIFORNIA",6,"LOSS, DEADOUT","205,000"
"1398",2016,"OCT THRU DEC","COLORADO",8,"LOSS, DEADOUT","4,500"
"1399",2016,"OCT THRU DEC","CONNECTICUT",9,"LOSS, DEADOUT","240"
"1400",2016,"OCT THRU DEC","FLORIDA",12,"LOSS, DEADOUT","41,000"
"1401",2016,"OCT THRU DEC","GEORGIA",13,"LOSS, DEADOUT","11,000"
"1402",2016,"OCT THRU DEC","HAWAII",15,"LOSS, DEADOUT","970"
"1403",2016,"OCT THRU DEC","IDAHO",16,"LOSS, DEADOUT","15,500"
"1404",2016,"OCT THRU DEC","ILLINOIS",17,"LOSS, DEADOUT","720"
"1405",2016,"OCT THRU DEC","INDIANA",18,"LOSS, DEADOUT","1,200"
"1406",2016,"OCT THRU DEC","IOWA",19,"LOSS, DEADOUT","4,700"
"1407",2016,"OCT THRU DEC","KANSAS",20,"LOSS, DEADOUT","1,300"
"1408",2016,"OCT THRU DEC","KENTUCKY",21,"LOSS, DEADOUT","950"
"1409",2016,"OCT THRU DEC","LOUISIANA",22,"LOSS, DEADOUT","2,000"
"1410",2016,"OCT THRU DEC","MAINE",23,"LOSS, DEADOUT","280"
"1411",2016,"OCT THRU DEC","MARYLAND",24,"LOSS, DEADOUT","500"
"1412",2016,"OCT THRU DEC","MASSACHUSETTS",25,"LOSS, DEADOUT","740"
"1413",2016,"OCT THRU DEC","MICHIGAN",26,"LOSS, DEADOUT","12,500"
"1414",2016,"OCT THRU DEC","MINNESOTA",27,"LOSS, DEADOUT","13,500"
"1415",2016,"OCT THRU DEC","MISSISSIPPI",28,"LOSS, DEADOUT","2,400"
"1416",2016,"OCT THRU DEC","MISSOURI",29,"LOSS, DEADOUT","590"
"1417",2016,"OCT THRU DEC","MONTANA",30,"LOSS, DEADOUT","16,000"
"1418",2016,"OCT THRU DEC","NEBRASKA",31,"LOSS, DEADOUT","4,300"
"1419",2016,"OCT THRU DEC","NEW JERSEY",34,"LOSS, DEADOUT","340"
"1420",2016,"OCT THRU DEC","NEW MEXICO",35,"LOSS, DEADOUT","1,600"
"1421",2016,"OCT THRU DEC","NEW YORK",36,"LOSS, DEADOUT","9,000"
"1422",2016,"OCT THRU DEC","NORTH CAROLINA",37,"LOSS, DEADOUT","5,500"
"1423",2016,"OCT THRU DEC","NORTH DAKOTA",38,"LOSS, DEADOUT","44,000"
"1424",2016,"OCT THRU DEC","OHIO",39,"LOSS, DEADOUT","2,100"
"1425",2016,"OCT THRU DEC","OKLAHOMA",40,"LOSS, DEADOUT","2,700"
"1426",2016,"OCT THRU DEC","OREGON",41,"LOSS, DEADOUT","9,500"
"1427",2016,"OCT THRU DEC","PENNSYLVANIA",42,"LOSS, DEADOUT","3,100"
"1428",2016,"OCT THRU DEC","SOUTH CAROLINA",45,"LOSS, DEADOUT","1,300"
"1429",2016,"OCT THRU DEC","SOUTH DAKOTA",46,"LOSS, DEADOUT","11,000"
"1430",2016,"OCT THRU DEC","TENNESSEE",47,"LOSS, DEADOUT","840"
"1431",2016,"OCT THRU DEC","TEXAS",48,"LOSS, DEADOUT","39,000"
"1432",2016,"OCT THRU DEC","UTAH",49,"LOSS, DEADOUT","1,600"
"1433",2016,"OCT THRU DEC","VERMONT",50,"LOSS, DEADOUT","260"
"1434",2016,"OCT THRU DEC","VIRGINIA",51,"LOSS, DEADOUT","730"
"1435",2016,"OCT THRU DEC","WASHINGTON",53,"LOSS, DEADOUT","9,000"
"1436",2016,"OCT THRU DEC","WEST VIRGINIA",54,"LOSS, DEADOUT","1,000"
"1437",2016,"OCT THRU DEC","WISCONSIN",55,"LOSS, DEADOUT","7,500"
"1438",2016,"OCT THRU DEC","WYOMING",56,"LOSS, DEADOUT","2,200"
"1439",2015,"JAN THRU MAR","ALABAMA",1,"LOSS, DEADOUT","1,800"
"1440",2015,"JAN THRU MAR","ARIZONA",4,"LOSS, DEADOUT","4,600"
"1441",2015,"JAN THRU MAR","ARKANSAS",5,"LOSS, DEADOUT","1,500"
"1442",2015,"JAN THRU MAR","CALIFORNIA",6,"LOSS, DEADOUT","255,000"
"1443",2015,"JAN THRU MAR","COLORADO",8,"LOSS, DEADOUT","1,500"
"1444",2015,"JAN THRU MAR","CONNECTICUT",9,"LOSS, DEADOUT","870"
"1445",2015,"JAN THRU MAR","FLORIDA",12,"LOSS, DEADOUT","42,000"
"1446",2015,"JAN THRU MAR","GEORGIA",13,"LOSS, DEADOUT","14,500"
"1447",2015,"JAN THRU MAR","HAWAII",15,"LOSS, DEADOUT","380"
"1448",2015,"JAN THRU MAR","IDAHO",16,"LOSS, DEADOUT","3,700"
"1449",2015,"JAN THRU MAR","ILLINOIS",17,"LOSS, DEADOUT","4,200"
"1450",2015,"JAN THRU MAR","INDIANA",18,"LOSS, DEADOUT","2,100"
"1451",2015,"JAN THRU MAR","IOWA",19,"LOSS, DEADOUT","3,100"
"1452",2015,"JAN THRU MAR","KANSAS",20,"LOSS, DEADOUT","1,600"
"1453",2015,"JAN THRU MAR","KENTUCKY",21,"LOSS, DEADOUT","4,100"
"1454",2015,"JAN THRU MAR","LOUISIANA",22,"LOSS, DEADOUT","8,000"
"1455",2015,"JAN THRU MAR","MAINE",23,"LOSS, DEADOUT","380"
